,gemini,gpt,index,gemini_percent_diff,gpt_percent_diff,gemini_real_diff,gpt_real_diff
objRate,0.048978220570459884,0.04614396959952339,0.037334268239308514,-31.188377006654928,-23.596823443131836,-0.01164395233115137,-0.008809701360214875
attRate,0.05160194415302024,0.059159606332410526,0.04819705167804936,-7.064524398121204,-22.745280619216597,-0.0034048924749708817,-0.010962554654361169
subordRate,0.04411265794481993,0.05415099652000723,0.04012243344733351,-9.945120857946382,-34.964387419542334,-0.003990224497486421,-0.014028563072673722
adverbRate,0.10477282620634394,0.12724278713738005,0.12556744305872145,16.560516281798403,-1.3342185186291722,0.020794616852377504,-0.0016753440786586027
coordRate,0.05639566024541424,0.053888899849197855,0.045033174342862414,-25.231367915668006,-19.664892905198986,-0.011362485902551824,-0.00885572550633544
partsRate,2.128353451815402,2.4000712526749717,2.435539742861903,12.61265770541436,1.4562887052400857,0.30718629104650086,0.03546849018693132
clauseRate,2.1455794349495294,2.7534827774669735,2.5543924337352624,16.00431450495372,-7.794039048282933,0.40881299878573296,-0.19909034373171108
simpleRate,0.2856667414564356,0.20576414092094655,0.3490961931701916,18.169619994347176,41.05803931793886,0.06342945171375597,0.14333205224924503
complexRate,0.7136439723239828,0.7941488220420168,0.6444183110690747,-10.742348574804526,-23.234987026446028,-0.06922566125490814,-0.1497305109729421
complexity1Rate,0.3945125792836091,0.28961893745333894,0.2568163631027764,-53.61660546751358,-12.772774271176464,-0.13769621618083272,-0.03280257435056255
complexity2Rate,0.22842024609283504,0.2387012106671036,0.17328820212241847,-31.815232251915717,-37.74810272338937,-0.05513204397041657,-0.06541300854468513
complexity3Rate,0.07260368429960284,0.15018564162858966,0.09503228765729853,23.601034880457448,-58.036437226664326,0.022428603357695684,-0.05515335397129113
complexClauseRate,2.5965308478473657,3.189899313349414,3.363376276985145,22.799870308449773,5.157822061801305,0.7668454291377795,0.17347696363573117
wordsLengthRate,5.693687741908781,5.63230503719781,5.192757064952842,-9.646718894993962,-8.464635775310626,-0.5009306769559396,-0.4395479722449682
compoundRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
positiveRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
negativeRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
precoPositiveRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
precoNegativeRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
negemoRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
negationRate,0.017119048527701422,0.017850787447381507,0.021368142086936777,19.8851801993258,16.460741534031513,0.004249093559235355,0.00351735463955527
functionRate,0.4910146238912489,0.4886096708488981,0.49591768126104063,0.9886837180969305,1.4736337679187799,0.004903057369791741,0.007308010412142518
contentRate,0.50898537610875,0.5113903291511008,0.5040823187389585,-0.9726699762168503,-1.449765274533829,-0.004903057369791575,-0.007308010412142352
vulgarRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
racistRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
specStyleRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
addressingRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
closingRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
postscriptRate,4.335761359693549e-06,2.008032128514e-06,0.00011041013134925398,96.07304030281561,98.18129721976138,0.00010607436998956043,0.00010840209922073998
brutalRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
epistemicRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
investRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
conditionRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
weaselRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
peacockRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
hedgeRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
doxasticRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
loveRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
anxietyRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
sorrowRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
joyRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
disgustRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
fearRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
surpriseRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
angerRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
slangBeGeneralRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
slangBeCigaretteRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
slangBeHumanRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
slangBeVehicleRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
slangBeDrugRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
slangBvRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
speechactRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
quoteRate,0.0003368773631980989,0.0009533566720578608,6.871543761139799e-05,-390.2498985791517,-1287.3980945145365,-0.0002681619255867009,-0.0008846412344464628
dashRate,5.721965017631855e-05,0.000201196666068149,0.0,no_index,no_index,-5.721965017631855e-05,-0.000201196666068149
publicRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
privateRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
suasiveRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
discMarkerRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
smileyRate,1.4879181049875e-05,0.0,0.0008096542392534301,98.16227960918293,no_gpt,0.0007947750582035551,0.0008096542392534301
dateRate,2.258605444434476e-05,1.6111193260581e-05,0.00045620921661693593,95.04918935837512,96.4684638815377,0.00043362316217259117,0.0004400980233563549
hesitationRate,0.0,1.7035775127760002e-06,2.331002331002e-06,no_gemini,26.91652470189922,2.331002331002e-06,6.27424818226e-07
restartRate,7.1226698654375e-05,0.00023239280613659795,0.00039102879945517873,81.78479468683246,40.56887716188901,0.00031980210080080374,0.00015863599331858078
repeatRate,0.00010625803736347376,0.000505228540238011,0.007299727942737327,98.54435619797046,93.07880315264796,0.007193469905373853,0.006794499402499316
conjBeforeDiscRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
conjAfterDiscRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
wordBeforeHesitationRate,0.0,1.7035775127760002e-06,2.331002331002e-06,no_gemini,26.91652470189922,2.331002331002e-06,6.27424818226e-07
wordAfterHesitationRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
otherCollocationRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
easyWordRate,0.9182517967428112,0.9235714384211446,0.9309262648999019,1.361490016446528,0.7900546752269496,0.012674468157090724,0.0073548264787572926
hardWordRate,0.0817482032571884,0.07642856157885472,0.06907373510009732,-18.34918603825903,-10.647790318706887,-0.012674468157091084,-0.007354826478757404
locationNameRate,0.0007066876567802786,0.0004398735186071038,0.002745012777254114,74.25557860290941,83.97553839268038,0.0020383251204738355,0.0023051392586470104
personNameRate,0.0006250907846295143,0.0008891890779819426,0.010551679170725326,94.07591176233096,91.57300877334372,0.009926588386095812,0.009662490092743383
organizationNameRate,0.0002480553966326109,0.00029298869061635706,0.0027852140935206884,91.09384814583309,89.48056843106087,0.0025371586968880775,0.0024922254029043312
misspelledRate,0.0011746787173375025,0.015871846371114603,0.0764502313522436,98.46347264545847,79.23898189662076,0.0752755526349061,0.060578384981128997
missingAccentRate,0.00027056456131161697,0.0034192272274624585,0.054989019761839036,99.50796620401046,93.78198185333845,0.05471845520052742,0.05156979253437658
foreignAccentRate,6.175154385717137e-05,0.000869767538245527,0.0,no_index,no_index,-6.175154385717137e-05,-0.000869767538245527
wordConcatRate,0.00017106950315698587,0.0016493590781832682,0.0029355864838019694,94.17256128882879,43.81500639534448,0.0027645169806449835,0.0012862274056187012
jLyMistakeRate,1.3846219491379034e-05,0.0003365361864875299,0.0006889372599286905,97.99020603228628,51.151402883571194,0.0006750910404373114,0.00035240107344116056
